Date,Regime_droit_commun,Regime_derogatoire,Inscriptions_hypotheques,pourcentage_droit_commun,pourcentage_regime_derogatoire,pourcentage_inscriptions_hypotheques
2010-12-31,321251250.0,226859666.66666666,106467833.33333333,49.07755560350836,34.657352788593684,16.265091607897954
2011-01-31,265057583.33333334,298848833.3333333,83208666.66666667,40.95988335923248,46.181713427840826,12.858403212926708
2011-02-28,290251757.85962677,365461803.2786885,119301904.76190476,37.451092349813244,47.155420679790694,15.393486970396072
2011-03-31,310708723.40425533,240647343.75,131841176.47058825,45.47862660506741,35.22369945071733,19.297673944215255
2011-04-30,260174447.3684211,126223030.3030303,72729285.71428572,56.66723617891874,27.491978331261755,15.840785489819492
2011-05-31,260772658.57826385,180621666.66666663,108548000.0,47.41818307258352,32.84374713043268,19.738069796983794
2011-06-30,277391210.5263158,194025634.8484848,78084915.71428572,50.480495272033274,35.30937452574042,14.21013020222631
2011-07-31,309707657.8947368,91413333.33333331,61087571.428571425,67.00604076104227,19.777507540733524,13.216451698224214
2011-08-31,388917789.4736842,189249545.4545454,74579142.85714285,59.58175228967886,28.99280990326109,11.425437807060062
2011-09-30,445727279.4805195,161933939.39393938,106598142.85714285,62.40412143845461,22.671587951099134,14.924290610446267
2011-10-31,389794500.0,171547272.72727272,106107947.14285713,58.40057885946,25.701901974077064,15.897519166462947
2011-11-30,397729739.5488722,170954090.90909088,92888857.14285713,60.11882700164528,25.840560548086174,14.040612450268569
2011-12-31,332160210.5263158,352804981.81818175,118033571.42857143,41.364971592930836,43.93593087994915,14.699097527120008
2012-01-31,381660749.14559126,382502878.7878788,145012428.57142857,41.97875058575467,42.07137617089435,15.949873243350998
2012-02-29,546324263.1578947,212472727.27272728,114257857.14285713,62.57616742823414,24.33669864651257,13.087133925253283
2012-03-31,312640583.73205745,186851060.6060606,75928428.57142857,54.33258213451359,32.47211374835593,13.19530411713047
2012-04-30,205379000.0,202198030.3030303,90373857.14285713,41.24483060035085,40.6060186658475,18.149150733801655
2012-05-31,221874578.9473684,96525757.57575758,64066714.28571428,58.011423069817035,25.237666191538636,16.75091073864433
2012-06-30,235536736.84210527,111890000.0,45694428.57142857,59.914539730858394,28.46196283588551,11.6234974332561
2012-07-31,354454421.0526316,166143793.93939394,110414142.85714285,56.17234221225145,26.329721101770794,17.497936685977752
2012-08-31,310685078.94736844,185218030.3030303,59316571.428571425,55.95714448872491,33.35941371468134,10.683441796593744
2012-09-30,260473000.0,149279542.42424244,53553142.85714286,56.22054904027427,32.22052894377469,11.558922015951033
2012-10-31,339058584.7368421,160576363.63636363,64259000.0,60.12807651421021,28.476341003412987,11.395582482376817
2012-11-30,242200210.5263158,112933030.3030303,74607571.42857143,56.35960179201097,26.279335609216304,17.361062598772726
2012-12-31,224945437.7990431,126500454.54545455,73631857.14285713,52.9186573680528,29.75936865620808,17.321973975739123
2013-01-31,268853894.7368421,198086666.66666666,147276571.42857143,43.771799965460026,32.25026722281633,23.97793281172362
2013-02-28,253305605.2631579,103078198.48484848,62763000.0,60.4336244480697,24.59238566610178,14.97398988582852
2013-03-31,232289997.265892,117699242.42424242,60984285.71428572,56.52188837159427,28.639130053066076,14.838981575339648
2013-04-30,248725622.80701756,131513333.33333333,106150428.57142857,51.13714045268593,27.03869316787503,21.824166379439035
2013-05-31,252352894.73684213,70382289.39393939,52278714.28571428,67.29161127158423,18.767914920254984,13.940473808160784
2013-06-30,255296772.04374573,95065454.54545455,70611285.71428572,60.64437894128088,22.5822888535848,16.773332205134324
