,date_mutation,valeur_fonciere,code_voie,code_postal,code_com,no_plan,nb_lot,surface_reel_bati,nb_piece_prin,surf_terrain,tt_surf_carez,vente,vente_etat_futur_achev,appartement,dependance,local_indus_com,maison,PE
180,2023-10-13,110000.0,B002,31460.0,102,18,0,67,4,1510,0.0,1,0,0,0,0,1,3380.283483748828
181,2023-02-03,444000.0,2804,31000.0,555,778,2,43,2,0,38.73,2,0,1,1,0,0,13644.053334404363
182,2023-08-29,1485000.0,8520,31000.0,555,122,4,117,0,0,117.0,3,0,0,1,1,0,45633.82703060918
183,2023-10-13,34000.0,B009,31160.0,20,608,0,104,5,75,0.0,1,0,0,0,0,1,1044.8148949769106
184,2023-10-13,137000.0,B005,31600.0,547,1651,0,0,0,385,0.0,1,0,0,0,0,0,4209.989429759905
185,2023-01-06,761700.0,1930,31170.0,557,4,9,66,3,0,0.0,3,0,1,1,0,0,23406.92663246802
186,2023-04-07,236300.0,0190,31620.0,252,1814,0,0,0,12,0.0,1,0,0,0,0,0,7261.463520089528
187,2023-03-21,88210.0,6104,31100.0,555,158,1,66,4,0,0.0,1,0,1,0,0,0,2710.680055468038
188,2023-05-17,133073.0,4434,31400.0,555,217,1,0,0,0,0.0,1,0,0,1,0,0,4089.3133093900715
189,2023-03-08,75000.0,1782,31300.0,555,287,1,55,0,0,33.47,1,0,0,0,1,0,2304.7387389196556
190,2023-01-09,800000.0,0840,31000.0,555,223,3,280,0,0,0.0,2,0,0,0,1,0,24583.87988180966
191,2023-04-07,120000.0,0193,31700.0,150,1071,1,76,0,0,0.0,1,0,0,0,1,0,3687.5819822714493
192,2023-01-03,135000.0,2939,31400.0,555,215,1,46,2,0,0.0,1,0,1,0,0,0,4148.52973005538
193,2023-04-20,7000.0,B174,31600.0,395,27,0,0,0,5720,0.0,1,0,0,0,0,0,215.10894896583451
194,2023-11-15,600000.0,B083,31330.0,281,244,0,0,0,3559,0.0,2,0,0,0,0,0,18437.909911357245
195,2023-09-28,4.0,B041,31430.0,122,456,0,0,0,430,0.0,1,0,0,0,0,0,0.12291939940904831
196,2023-09-28,173000.0,B044,31410.0,181,2704,0,0,0,455,0.0,2,0,0,0,0,0,5316.264024441338
197,2023-08-22,204300.0,0840,31110.0,42,112,3,33,2,0,30.47,3,0,1,1,0,0,6278.108324817143
198,2023-09-28,23781752.0,B047,31400.0,555,203,2,0,0,7130,0.0,10,1,0,0,0,0,730809.6681837332
199,2023-11-20,183000.0,1420,31600.0,395,64,9,88,4,0,0.0,3,0,1,1,0,0,5623.562522963959
200,2023-01-18,1881900.0,3984,31300.0,555,221,3,0,0,0,0.0,3,1,0,0,0,0,57830.504436972005
201,2023-06-22,608.0,B055,31230.0,239,335,0,0,0,304,0.0,2,0,0,0,0,0,18.683748710175344
