Saison;Compagnie Operating;Numéro de vol;Compagnie Marketing;Numéro de vol Marketing;Aéroport de départ;Aéroport d'arrivée;Jour de départ en Local;Jour d'arrivée  en Local;Heure de départ en Local;Heure d'arrivée en Local;Date de début de période;Date de fin  de période;Compagnie propriétaire;Type Avion
W19;Sky Bahamas;25;Thai Flying Helicopter Service;8991;Licenciado Benito Juarez International Airport;Amsterdam Airport Schiphol;4;5;23:30;17:00;;;Sky Bahamas;Boeing 787
W19;Sky Bahamas;25;Thai Flying Helicopter Service;8991;Licenciado Benito Juarez International Airport;Amsterdam Airport Schiphol;7;1;23:30;17:00;;;Sky Bahamas;Boeing 787
W19;Sky Bahamas;25;Thai Flying Helicopter Service;8991;Licenciado Benito Juarez International Airport;Amsterdam Airport Schiphol;6;7;23:30;17:00;;;Sky Bahamas;Boeing 787
W19;Sky Bahamas;25;Thai Flying Helicopter Service;8991;Licenciado Benito Juarez International Airport;Amsterdam Airport Schiphol;2;3;23:30;17:00;;;Sky Bahamas;Boeing 787
W19;Sky Bahamas;25;Thai Flying Helicopter Service;8991;Licenciado Benito Juarez International Airport;Amsterdam Airport Schiphol;1;2;23:30;17:00;;;Sky Bahamas;Boeing 787
W19;Sky Bahamas;25;Thai Flying Helicopter Service;8991;Licenciado Benito Juarez International Airport;Amsterdam Airport Schiphol;5;6;23:30;17:00;;;Sky Bahamas;Boeing 787
W19;Sky Bahamas;25;Thai Flying Helicopter Service;8991;Licenciado Benito Juarez International Airport;Amsterdam Airport Schiphol;3;4;23:30;17:00;;;Sky Bahamas;Boeing 787
W19;Sham Wing Airlines;26;Thai Flying Helicopter Service;2331;Charles de Gaulle International Airport;Washington Dulles International Airport;1;1;16:40;19:40;;;Sham Wing Airlines;Airbus A330-200
W19;Sham Wing Airlines;26;Thai Flying Helicopter Service;2331;Charles de Gaulle International Airport;Washington Dulles International Airport;4;4;16:40;19:40;;;Sham Wing Airlines;Airbus A330-200
W19;Sham Wing Airlines;26;Thai Flying Helicopter Service;2331;Charles de Gaulle International Airport;Washington Dulles International Airport;6;6;16:40;19:40;;;Sham Wing Airlines;Airbus A330-200
W19;Sham Wing Airlines;26;Thai Flying Helicopter Service;2331;Charles de Gaulle International Airport;Washington Dulles International Airport;7;7;16:40;19:40;;;Sham Wing Airlines;Airbus A330-200
W19;Sky Bahamas;26;Thai Flying Helicopter Service;8990;Amsterdam Airport Schiphol;Licenciado Benito Juarez International Airport;3;4;22:25;03:30;;;Sky Bahamas;Boeing 787
W19;Sky Bahamas;26;Thai Flying Helicopter Service;8990;Amsterdam Airport Schiphol;Licenciado Benito Juarez International Airport;5;6;22:25;03:30;;;Sky Bahamas;Boeing 787
W19;Sky Bahamas;26;Thai Flying Helicopter Service;8990;Amsterdam Airport Schiphol;Licenciado Benito Juarez International Airport;4;5;22:25;03:30;;;Sky Bahamas;Boeing 787
W19;Sky Bahamas;26;Thai Flying Helicopter Service;8990;Amsterdam Airport Schiphol;Licenciado Benito Juarez International Airport;2;3;22:25;03:30;;;Sky Bahamas;Boeing 787
W19;Sky Bahamas;26;Thai Flying Helicopter Service;8990;Amsterdam Airport Schiphol;Licenciado Benito Juarez International Airport;6;7;22:25;03:30;;;Sky Bahamas;Boeing 787
W19;Sky Bahamas;26;Thai Flying Helicopter Service;8990;Amsterdam Airport Schiphol;Licenciado Benito Juarez International Airport;7;1;22:25;03:30;;;Sky Bahamas;Boeing 787
W19;Sky Bahamas;26;Thai Flying Helicopter Service;8990;Amsterdam Airport Schiphol;Licenciado Benito Juarez International Airport;1;2;22:25;03:30;;;Sky Bahamas;Boeing 787
W19;Sham Wing Airlines;27;Thai Flying Helicopter Service;2373;Washington Dulles International Airport;Charles de Gaulle International Airport;1;2;21:30;11:10;;;Sham Wing Airlines;Airbus A330-200
W19;Sham Wing Airlines;27;Thai Flying Helicopter Service;2373;Washington Dulles International Airport;Charles de Gaulle International Airport;2;3;21:30;11:10;;;Sham Wing Airlines;Airbus A330-200
W19;Sham Wing Airlines;27;Thai Flying Helicopter Service;2373;Washington Dulles International Airport;Charles de Gaulle International Airport;5;6;21:30;11:10;;;Sham Wing Airlines;Airbus A330-200
W19;Sham Wing Airlines;27;Thai Flying Helicopter Service;2373;Washington Dulles International Airport;Charles de Gaulle International Airport;7;1;21:30;11:10;;;Sham Wing Airlines;Airbus A330-200
W19;Slate Falls Airways;31;Sham Wing Airlines;3801;Abu Dhabi International Airport;Charles de Gaulle International Airport;6;6;02:20;07:00;;;Slate Falls Airways;Airbus A380
W19;Slate Falls Airways;31;Sham Wing Airlines;3801;Abu Dhabi International Airport;Charles de Gaulle International Airport;4;4;02:20;07:00;;;Slate Falls Airways;Airbus A380
W19;Slate Falls Airways;31;Sham Wing Airlines;3801;Abu Dhabi International Airport;Charles de Gaulle International Airport;2;2;02:20;07:00;;;Slate Falls Airways;Airbus A380
W19;Slate Falls Airways;31;Sham Wing Airlines;3801;Abu Dhabi International Airport;Charles de Gaulle International Airport;7;7;02:20;07:00;;;Slate Falls Airways;Airbus A380
W19;Slate Falls Airways;31;Sham Wing Airlines;3801;Abu Dhabi International Airport;Charles de Gaulle International Airport;3;3;02:20;07:00;;;Slate Falls Airways;Airbus A380
W19;Slate Falls Airways;31;Sham Wing Airlines;3801;Abu Dhabi International Airport;Charles de Gaulle International Airport;1;1;02:20;07:00;;;Slate Falls Airways;Airbus A380
W19;Slate Falls Airways;31;Sham Wing Airlines;3801;Abu Dhabi International Airport;Charles de Gaulle International Airport;5;5;02:20;07:00;;;Slate Falls Airways;Airbus A380
W19;Sham Wing Airlines;32;Thai Flying Helicopter Service;2374;Paris-Orly Airport;John F Kennedy International Airport;1;1;14:15;16:55;;;Sham Wing Airlines;Boeing 777-200/Boeing 777-200ER
W19;Sham Wing Airlines;32;Thai Flying Helicopter Service;2374;Paris-Orly Airport;John F Kennedy International Airport;2;2;14:15;16:55;;;Sham Wing Airlines;Boeing 777-200/Boeing 777-200ER
W19;Sham Wing Airlines;32;Thai Flying Helicopter Service;2374;Paris-Orly Airport;John F Kennedy International Airport;3;3;14:15;16:55;;;Sham Wing Airlines;Boeing 777-200/Boeing 777-200ER
W19;Sham Wing Airlines;32;Thai Flying Helicopter Service;2374;Paris-Orly Airport;John F Kennedy International Airport;4;4;14:15;16:55;;;Sham Wing Airlines;Boeing 777-200/Boeing 777-200ER
W19;Sham Wing Airlines;32;Thai Flying Helicopter Service;2374;Paris-Orly Airport;John F Kennedy International Airport;5;5;14:15;16:55;;;Sham Wing Airlines;Boeing 777-200/Boeing 777-200ER
